iter	Passed	Remaining
0	65	65785
1	74	37104
2	81	27044
3	88	21984
4	95	19026
5	105	17458
6	113	16090
7	120	14901
8	128	14164
9	135	13444
10	143	12859
11	149	12345
12	156	11895
13	163	11534
14	170	11224
15	177	10939
16	184	10696
17	192	10475
18	199	10278
19	205	10090
20	212	9920
21	219	9779
22	226	9638
23	233	9502
24	240	9380
25	247	9272
26	257	9268
27	264	9165
28	271	9081
29	278	9001
30	285	8920
31	292	8847
32	299	8773
33	306	8720
34	313	8649
35	321	8612
36	328	8553
37	335	8498
38	342	8438
39	349	8382
40	356	8337
41	363	8282
42	370	8238
43	377	8194
44	385	8176
45	392	8147
46	399	8105
47	406	8062
48	413	8021
49	420	7986
50	427	7951
51	434	7918
52	441	7883
53	448	7851
54	455	7820
55	462	7789
56	468	7756
57	475	7726
58	483	7704
59	490	7678
60	497	7659
61	506	7665
62	513	7639
63	521	7622
64	528	7595
65	536	7585
66	542	7558
67	549	7536
68	557	7519
69	564	7493
70	571	7472
71	578	7454
72	585	7432
73	592	7414
74	599	7395
75	606	7374
76	613	7355
77	620	7333
78	628	7321
79	634	7301
80	641	7281
81	648	7265
82	655	7243
83	662	7223
84	669	7207
85	676	7189
86	683	7170
87	690	7157
88	697	7140
89	704	7128
90	711	7110
91	719	7101
92	726	7088
93	733	7074
94	741	7060
95	748	7045
96	755	7029
97	763	7023
98	770	7009
99	779	7014
100	790	7032
101	796	7016
102	804	7004
103	811	6990
104	818	6976
105	826	6969
106	834	6966
107	842	6954
108	849	6942
109	856	6929
110	863	6915
111	870	6900
112	877	6888
113	884	6875
114	891	6863
115	898	6849
116	906	6842
117	913	6829
118	921	6823
119	928	6808
120	935	6795
121	942	6780
122	949	6767
123	955	6753
124	962	6738
125	969	6724
126	976	6711
127	983	6701
128	990	6689
129	997	6676
130	1004	6662
131	1012	6656
132	1019	6645
133	1026	6631
134	1033	6619
135	1040	6608
136	1047	6596
137	1054	6584
138	1060	6572
139	1067	6559
140	1074	6546
141	1081	6535
142	1088	6525
143	1096	6518
144	1104	6511
145	1111	6499
146	1118	6492
147	1126	6482
148	1132	6469
